X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
2633941.91453573,1244596.19571679,"0","0","0",445.4,2026/05/20 13:14:28+00,,,,,,,,,,,,,,,,,,,,,
2633941.91453573,1244596.19571679,"0","0","1",445.4,2026/05/20 13:14:29+00,,,,,,,,,,,,,,,,,,,,,
2633941.69867045,1244594.30437045,"0","0","2",445.2,2026/05/20 13:14:30+00,,,,,,,,,,,,,,,,,,,,,
2633940.72532594,1244592.74224258,"0","0","3",444.9,2026/05/20 13:14:31+00,,,,,,,,,,,,,,,,,,,,,
2633937.94559883,1244589.94677417,"0","0","4",444.4,2026/05/20 13:14:32+00,,,,,,,,,,,,,,,,,,,,,
2633936.89351749,1244588.94011215,"0","0","5",444.4,2026/05/20 13:14:33+00,,,,,,,,,,,,,,,,,,,,,
2633934.48712459,1244586.92506107,"0","0","6",444.2,2026/05/20 13:14:34+00,,,,,,,,,,,,,,,,,,,,,
2633930.80324575,1244583.67969559,"0","0","7",443.9,2026/05/20 13:14:35+00,,,,,,,,,,,,,,,,,,,,,
2633929.45147444,1244582.22658978,"0","0","8",443.8,2026/05/20 13:14:36+00,,,,,,,,,,,,,,,,,,,,,
2633926.6730078,1244579.20876788,"0","0","9",443.6,2026/05/20 13:14:37+00,,,,,,,,,,,,,,,,,,,,,
2633925.02662898,1244576.41978275,"0","0","10",443.4,2026/05/20 13:14:38+00,,,,,,,,,,,,,,,,,,,,,
2633924.65519526,1244575.30582958,"0","0","11",443.4,2026/05/20 13:14:39+00,,,,,,,,,,,,,,,,,,,,,
2633923.76565973,1244572.29880378,"0","0","12",443.2,2026/05/20 13:14:40+00,,,,,,,,,,,,,,,,,,,,,
2633923.39422551,1244571.1848507,"0","0","13",443.2,2026/05/20 13:14:41+00,,,,,,,,,,,,,,,,,,,,,
2633922.97073997,1244565.9568271,"0","0","14",443,2026/05/20 13:14:42+00,,,,,,,,,,,,,,,,,,,,,
